Borough,Attended_College,Completed_4YRs_College,Sex,Economics_Major,Transportation_to_Work,Employment_Status,Age,Income,Education
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,45,21000,13
Queens,No,No,Female,Didn't Complete College,Subway,Employed,49,29000,12
Queens,No,No,Female,Didn't Complete College,Walking,Employed,52,20000,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,60,0,13
Brooklyn,Yes,No,Male,Didn't Complete College,Walking,Employed,45,43000,14
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,67,90000,17
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,61,105000,17
Staten Island,Yes,Yes,Female,Different Major,Not working,Not in labor force,54,0,16
Bronx,Yes,No,Male,Didn't Complete College,Car,Employed,36,100000,13
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,35,0,11
Queens,Yes,Yes,Male,Different Major,Subway,Employed,29,86400,17
Queens,Yes,Yes,Female,Different Major,Subway,Employed,28,81000,17
Manhattan,Yes,Yes,Male,Different Major,Walking,Employed,38,661000,17
Manhattan,Yes,Yes,Female,Different Major,Car,Employed,39,72000,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,32,30000,17
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,30,45000,17
Brooklyn,Yes,Yes,Male,Different Major,Walking,Employed,47,50000,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,49,50000,17
Staten Island,Yes,Yes,Female,Different Major,Not working,Not in labor force,47,40000,17
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,53,167000,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,63,72000,12
Queens,Yes,Yes,Male,Different Major,Car,Employed,54,52000,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,53,10800,14
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,83,26200,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,37,8400,13
Bronx,Yes,Yes,Male,Different Major,Car,Employed,45,30000,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,43,0,11
Brooklyn,Yes,No,Female,Didn't Complete College,Walking,Employed,51,30000,14
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,51,20000,12
Bronx,Yes,Yes,Female,Different Major,Car,Employed,62,100000,16
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,60,300,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,69,12600,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,31,2700,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,28,660,12
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,60,39200,13
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,34,38000,14
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,26,0,14
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,56,130300,17
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,68,121500,16
Bronx,Yes,Yes,Male,Different Major,Car,Employed,38,100000,16
Bronx,Yes,No,Female,Didn't Complete College,Car,Employed,56,38000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,76,6000,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,58,3600,12
Bronx,Yes,No,Female,Didn't Complete College,Subway,Employed,53,50000,14
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,71,67000,17
Manhattan,Yes,Yes,Male,Different Major,Not working,Unemployed,28,81900,16
Manhattan,Yes,Yes,Male,Different Major,Walking,Employed,36,664000,16
Manhattan,Yes,No,Male,Didn't Complete College,Subway,Employed,32,10000,12
Bronx,Yes,No,Male,Didn't Complete College,Subway,Employed,53,52000,12
Bronx,No,No,Female,Didn't Complete College,Worked from Home,Employed,50,600,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,25,0,12
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,45,110000,17
Staten Island,Yes,Yes,Female,Different Major,Car,Employed,43,115000,16
Staten Island,Yes,Yes,Male,Different Major,Not working,Unemployed,50,12000,16
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,58,38000,12
Brooklyn,No,No,Female,Didn't Complete College,Car,Employed,48,59000,11
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,40,60000,17
Queens,Yes,Yes,Male,Different Major,Car,Employed,29,100000,17
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,29,0,17
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,39,9000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,58,0,11
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,26,49000,13
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,44,290000,16
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,63,100250,17
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,32,100000,16
Manhattan,Yes,Yes,Female,Yes,Car,Employed,31,79000,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,58,85000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Car,Employed,60,100000,13
Brooklyn,Yes,Yes,Female,Different Major,Not working,Unemployed,28,16000,17
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,29,29100,16
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,29,35000,16
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,28,25000,16
Queens,No,No,Male,Didn't Complete College,Subway,Employed,43,35000,12
Queens,No,No,Female,Didn't Complete College,Subway,Employed,39,34000,12
Queens,No,No,Female,Didn't Complete College,Subway,Employed,38,34000,12
Staten Island,No,No,Female,Didn't Complete College,Bus,Employed,61,60000,12
Queens,Yes,Yes,Male,Different Major,Subway,Employed,51,16400,17
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,43,40,16
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,12800,11
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,35,45000,16
Brooklyn,Yes,Yes,Female,Different Major,Bus,Employed,30,39100,17
Queens,No,No,Female,Didn't Complete College,Walking,Employed,63,24800,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,65,37200,12
Manhattan,Yes,Yes,Male,Different Major,Walking,Employed,44,253000,16
Brooklyn,No,No,Female,Didn't Complete College,Railroad,Employed,58,24000,12
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,61,40000,12
Manhattan,Yes,No,Male,Didn't Complete College,Subway,Employed,53,75000,12
Bronx,Yes,No,Female,Didn't Complete College,Bus,Employed,47,33000,14
Bronx,Yes,No,Female,Didn't Complete College,Subway,Employed,25,64000,12
Queens,Yes,Yes,Female,Different Major,Car,Employed,70,91000,17
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,90,24000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,88,7200,12
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,45,85000,13
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,55,190000,16
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,71,35900,13
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,69,18200,12
Brooklyn,Yes,Yes,Female,Different Major,Bus,Employed,28,65000,16
Brooklyn,Yes,No,Female,Didn't Complete College,Bus,Employed,58,45000,13
Staten Island,Yes,Yes,Female,Different Major,Car,Employed,50,64000,17
Staten Island,Yes,No,Male,Didn't Complete College,Car,Employed,49,140000,12
Staten Island,Yes,Yes,Female,Different Major,Bus,Employed,25,58000,16
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,63,92000,17
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,64,103200,17
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,52,24000,12
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,26,341000,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,81,0,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,75,0,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Unemployed,25,20000,13
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,46,35000,16
Brooklyn,No,No,Female,Didn't Complete College,Bus,Employed,39,15000,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,63,9100,16
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,74,132900,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,75,19300,16
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,75,16000,14
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,74,27100,17
Bronx,No,No,Female,Didn't Complete College,Car,Employed,51,28000,11
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,25,0,16
Bronx,No,No,Male,Didn't Complete College,Not working,Unemployed,30,0,11
Manhattan,Yes,No,Female,Didn't Complete College,Bus,Employed,47,60000,14
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Unemployed,61,0,14
Staten Island,No,No,Female,Didn't Complete College,Bus,Employed,71,84000,12
Queens,No,No,Male,Didn't Complete College,Car,Employed,33,25000,12
Queens,No,No,Female,Didn't Complete College,Subway,Employed,35,6000,12
Queens,No,No,Male,Didn't Complete College,Not working,Unemployed,59,4500,11
Queens,No,No,Female,Didn't Complete College,Not working,Unemployed,56,0,11
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,63,38000,13
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,48,400000,16
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Unemployed,48,0,12
Staten Island,Yes,Yes,Female,Different Major,Not working,Not in labor force,76,114000,17
Staten Island,Yes,Yes,Male,Different Major,Not working,Not in labor force,82,176000,17
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,4000,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,89,11400,11
Queens,Yes,No,Female,Didn't Complete College,Bus,Employed,27,40000,14
Queens,No,No,Female,Didn't Complete College,Subway,Employed,56,28100,11
Queens,No,No,Male,Didn't Complete College,Subway,Employed,52,20800,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,77,30200,12
Queens,No,No,Male,Didn't Complete College,Not working,Employed,85,108200,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,80,19400,16
Queens,No,No,Female,Didn't Complete College,Not working,Employed,39,28000,11
Queens,No,No,Male,Didn't Complete College,Car,Employed,57,20000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Car,Employed,42,105000,14
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,36,37000,12
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,46,40000,17
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,26,45000,13
Queens,No,No,Female,Didn't Complete College,Car,Employed,53,91000,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,62,80900,16
Brooklyn,Yes,No,Male,Didn't Complete College,Car,Employed,34,90000,13
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,29,0,11
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,81,14000,16
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,40,150000,16
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,49,45000,14
Queens,Yes,Yes,Male,Different Major,Subway,Employed,29,18000,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,41,83200,17
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,67,0,16
Brooklyn,Yes,No,Female,Didn't Complete College,Worked from Home,Employed,70,38000,14
Brooklyn,Yes,Yes,Male,Different Major,Bicycle,Employed,56,250000,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,55,200000,17
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,40,90000,14
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,66,28300,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,86,15000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,78,12000,12
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,45,24000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,45,0,11
Brooklyn,Yes,Yes,Male,Different Major,Walking,Employed,25,30000,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,29,0,12
Queens,No,No,Male,Didn't Complete College,Car,Employed,36,50000,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Unemployed,57,18000,17
Queens,No,No,Female,Didn't Complete College,Subway,Employed,52,25000,11
Queens,No,No,Male,Didn't Complete College,Walking,Employed,38,35000,12
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,62,90000,16
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,28,5000,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,72,10800,12
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,39,992000,16
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,39,117000,16
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,32,40000,13
Staten Island,Yes,No,Female,Didn't Complete College,Car,Employed,39,28000,12
Staten Island,Yes,No,Male,Didn't Complete College,Car,Employed,35,45700,12
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,54,180000,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,49,355000,17
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,95,19200,13
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,95,12000,13
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,71,36800,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,42,0,11
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,54,32000,14
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,47,3000,17
Staten Island,Yes,Yes,Female,Different Major,Not working,Not in labor force,28,28500,16
Staten Island,No,No,Male,Didn't Complete College,Car,Employed,29,70000,11
Staten Island,Yes,No,Female,Didn't Complete College,Car,Employed,25,15000,13
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,83,11100,13
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,86,8900,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,86,9100,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,63,14000,11
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,39,19000,16
Queens,Yes,Yes,Male,Different Major,Car,Employed,57,70000,17
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,53,0,13
Bronx,Yes,No,Female,Didn't Complete College,Bus,Employed,56,27600,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,79,8800,11
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,72,13000,16
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,26,67000,16
Manhattan,Yes,Yes,Female,Different Major,Railroad,Employed,26,57000,17
Brooklyn,Yes,Yes,Female,Different Major,Worked from Home,Employed,29,47100,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,30,80000,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,71,25100,13
Queens,Yes,No,Male,Didn't Complete College,Bus,Employed,32,38000,13
Queens,Yes,No,Male,Didn't Complete College,Motorcycle,Employed,73,5000,12
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,31,70000,16
Queens,Yes,Yes,Male,Different Major,Not working,Not in labor force,75,9300,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,80,10500,12
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,40,73000,13
Queens,No,No,Female,Didn't Complete College,Bus,Employed,49,35000,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,48,10000,11
Brooklyn,Yes,No,Female,Didn't Complete College,Car,Employed,42,35000,13
Bronx,Yes,No,Female,Didn't Complete College,Bus,Employed,52,26000,12
Bronx,Yes,No,Male,Didn't Complete College,Car,Employed,57,20600,13
Queens,Yes,Yes,Male,Different Major,Not working,Not in labor force,73,80000,16
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,71,3700,17
Queens,Yes,Yes,Male,Different Major,Walking,Employed,45,30000,16
Queens,No,No,Female,Didn't Complete College,Subway,Employed,35,20000,12
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,57,2800,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,57,60000,16
Queens,Yes,Yes,Male,Different Major,Not working,Not in labor force,54,10000,17
Queens,Yes,Yes,Female,Different Major,Bus,Employed,53,45000,16
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,27,2000,13
Bronx,Yes,Yes,Male,Different Major,Subway,Employed,38,100000,16
Bronx,No,No,Female,Didn't Complete College,Car,Employed,38,30000,11
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,51,31500,12
Queens,Yes,Yes,Male,Different Major,Subway,Employed,41,110000,16
Queens,Yes,Yes,Female,Different Major,Not working,Employed,36,23600,17
Queens,Yes,Yes,Male,Different Major,Car,Employed,35,8400,17
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,33,11000,11
Brooklyn,Yes,Yes,Male,Different Major,Walking,Employed,62,36500,17
Brooklyn,No,No,Female,Didn't Complete College,Walking,Employed,44,35000,12
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,25,22900,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Unemployed,55,15000,11
Bronx,Yes,No,Female,Didn't Complete College,Bus,Employed,68,93000,14
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,25,0,11
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,39,95000,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,44,38000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,39,10400,13
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,42,10000,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Employed,60,10000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Bus,Employed,58,23000,13
Bronx,Yes,Yes,Female,Different Major,Subway,Employed,35,34000,16
Bronx,Yes,No,Male,Didn't Complete College,Subway,Employed,39,40000,14
Queens,Yes,No,Male,Didn't Complete College,Walking,Employed,32,49400,12
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,32,45000,12
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,32,35000,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,32,0,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,83,50100,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,29,62000,17
Brooklyn,No,No,Female,Didn't Complete College,Car,Employed,60,22000,12
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,60,11000,14
Brooklyn,Yes,No,Male,Didn't Complete College,Walking,Employed,30,23400,14
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,28,10800,12
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,41,100000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,79,5000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,66,45700,14
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,65,407000,17
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,63,0,17
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,80,10300,11
Queens,No,No,Female,Didn't Complete College,Car,Employed,64,38000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,69,54600,12
Brooklyn,No,No,Female,Didn't Complete College,Car,Employed,59,14900,12
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,67,20400,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,43,0,11
Brooklyn,No,No,Male,Didn't Complete College,Walking,Employed,44,25300,12
Queens,No,No,Male,Didn't Complete College,Worked from Home,Employed,40,58000,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,41,0,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,38,89000,17
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,43,86000,17
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,60,3500,16
Manhattan,Yes,Yes,Female,Different Major,Not working,Unemployed,41,3000,16
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,27,0,12
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,28,34600,12
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,37,70000,16
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,26,4000,13
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,35,250000,16
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,80,36000,11
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,57,75000,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Employed,56,50000,12
Bronx,No,No,Female,Didn't Complete College,Subway,Employed,37,20000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Unemployed,61,0,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,69,0,12
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,66,12400,12
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,41,660000,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,40,130000,16
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,28,60000,16
Manhattan,Yes,Yes,Male,Yes,Railroad,Employed,33,60000,16
Queens,No,No,Male,Didn't Complete College,Subway,Employed,64,5900,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,62,0,11
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,46,29000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Car,Employed,58,39000,12
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,54,22800,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,36,5500,14
Manhattan,Yes,Yes,Male,Yes,Worked from Home,Employed,50,670000,17
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,51,5000,17
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,64,580,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Unemployed,27,240,12
Brooklyn,Yes,Yes,Male,Different Major,Bus,Employed,52,60000,17
Brooklyn,No,No,Female,Didn't Complete College,Bus,Employed,50,11000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,52,0,12
Bronx,No,No,Male,Didn't Complete College,Car,Employed,61,50000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,62,0,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,57,0,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,83,0,11
Bronx,Yes,No,Male,Didn't Complete College,Car,Employed,58,32000,14
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,48,0,12
Bronx,Yes,Yes,Male,Different Major,Car,Employed,28,220000,17
Bronx,No,No,Male,Didn't Complete College,Worked from Home,Employed,25,30000,11
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,36,65000,16
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,32,190000,17
Bronx,Yes,No,Male,Didn't Complete College,Subway,Employed,59,100000,13
Bronx,Yes,Yes,Female,Different Major,Subway,Employed,54,85000,17
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,77,8400,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,80,14400,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,55,12000,12
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,57,2000,14
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,55,140000,14
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,78,86500,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,54,9200,16
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,58,35000,14
Brooklyn,No,No,Female,Didn't Complete College,Car,Employed,55,35000,12
Brooklyn,No,No,Female,Didn't Complete College,Ferry,Employed,25,25000,12
Staten Island,Yes,Yes,Female,Different Major,Not working,Not in labor force,41,3000,17
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,42,60000,16
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,74,24900,16
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,70,6700,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,73,6700,11
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,28,6000,12
Queens,Yes,Yes,Male,Different Major,Subway,Employed,54,63000,16
Bronx,No,No,Female,Didn't Complete College,Walking,Employed,28,23000,12
Bronx,No,No,Male,Didn't Complete College,Bus,Employed,31,15000,11
Bronx,No,No,Male,Didn't Complete College,Subway,Employed,51,58000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,50,0,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,75,58000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Unemployed,67,60000,12
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,58,40000,12
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,27,50000,16
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Unemployed,37,5300,13
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,64,41000,13
Bronx,No,No,Female,Didn't Complete College,Car,Employed,45,28800,12
Bronx,No,No,Male,Didn't Complete College,Subway,Employed,48,36600,12
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,71,34000,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,78,13400,11
Queens,Yes,Yes,Male,Different Major,Car,Employed,50,239000,16
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,49,0,16
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,74,0,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,70,177350,16
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,65,12000,17
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,32,6480,13
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,26,34600,17
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,56,860,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Employed,53,80000,11
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,52,13000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,27,40000,13
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,63,150000,13
Queens,No,No,Female,Didn't Complete College,Car,Employed,54,23000,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,33,0,11
Queens,Yes,Yes,Female,Different Major,Bus,Employed,36,20000,16
Queens,Yes,Yes,Male,Different Major,Worked from Home,Employed,29,99000,17
Queens,Yes,No,Female,Didn't Complete College,Bus,Employed,28,24000,12
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,58,90000,16
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,60,90000,16
Brooklyn,Yes,Yes,Female,Different Major,Bus,Employed,30,12000,16
Queens,No,No,Male,Didn't Complete College,Car,Employed,43,150000,12
Queens,Yes,Yes,Female,Different Major,Car,Employed,30,83000,16
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,77,2400,12
